order_id,product_id,quantity,order_date,region,customer_email
O001,P001,3,2026-02-02,Sudeste,ana.silva@example.com
O002,P003,10,2026-02-02,Sul,bruno.costa@example.com
O003,P007,1,2026-02-03,Nordeste,carla.souza@example.com
O004,P002,2,2026-02-03,Sudeste,diego.pereira@example.com
O005,P011,4,2026-02-04,Sul,elena.martins@example.com
O006,P005,6,2026-02-04,CentroOeste,felipe.rocha@example.com
O007,P009,12,2026-02-05,Sudeste,gabriela.lima@example.com
O008,P014,1,2026-02-05,Norte,hugo.alves@example.com
O009,P004,2,2026-02-06,Sul,isabela.dias@example.com
O010,P013,3,2026-02-06,Sudeste,joao.fernandes@example.com
O011,P006,5,2026-02-07,Nordeste,karina.gomes@example.com
O012,P010,2,2026-02-07,Sudeste,lucas.barbosa@example.com
O013,P001,7,2026-02-08,Sul,mariana.teixeira@example.com
O014,P008,20,2026-02-08,Sudeste,nicolas.ribeiro@example.com
O015,P015,4,2026-02-09,CentroOeste,olivia.cardoso@example.com
O016,P002,1,2026-02-09,Sudeste,pedro.nascimento@example.com
O017,P012,3,2026-02-10,Sul,quiteria.moura@example.com
O018,P003,15,2026-02-10,Sudeste,rafael.correia@example.com
O019,P007,2,2026-02-11,Norte,sofia.pinto@example.com
O020,P011,6,2026-02-11,Sudeste,tiago.azevedo@example.com
O021,P005,8,2026-02-12,Sul,ursula.freitas@example.com
O022,P009,9,2026-02-12,Nordeste,vitor.monteiro@example.com
O023,P013,2,2026-02-13,Sudeste,wanda.castro@example.com
O024,P014,1,2026-02-13,Sul,xavier.ramos@example.com
O025,P006,4,2026-02-14,Sudeste,yasmin.duarte@example.com
